user,item,feature1,feature2,target
174,942,0.40184280096125014,0.484223704311482,1
36,592,0.513013124712322,0.7972109923993257,1
85,517,0.047612124689061286,0.4136469678695507,1
144,779,0.9852536208663333,0.39750474579513706,1
78,341,0.18661191759555318,0.860794535211795,1
286,465,0.0803253306359849,0.12435760822514408,1
268,11,0.7099601015285723,0.8754965442269256,1
113,989,0.7714853404364669,0.9607126303735426,1
215,679,0.38911873740475955,0.8851477891264896,1
140,910,0.6027729142474476,0.7978423875929369,1
16,847,0.5560071688713285,0.35834166958874203,1
91,372,0.9249029446789035,0.08461801257686685,1
37,889,0.6397769190322079,0.9893221159498118,1
213,602,0.5424761390584656,0.42474980456546585,1
257,158,0.020820456951101796,0.3779549829581682,1
137,99,0.9930018930358558,0.9229054964194945,1
248,988,0.7013895409685803,0.7055174135923674,1
170,839,0.6732512735346459,0.9504346761318332,1
167,196,0.5968703787179128,0.144929241147694,1
237,519,0.3329383835393559,0.9252317278314138,1
65,555,0.1472600584572341,0.2138941819151281,1
65,980,0.22617422469767423,0.9688719132600689,1
257,802,0.11286761067916784,0.8419538935862648,1
261,672,0.29395151764660954,0.5225349589323537,1
256,255,0.35843829481525724,0.5616941250772399,1
234,532,0.21932214839116815,0.034381415223581846,1
297,21,0.024213490933248538,0.9563187751890335,1
226,504,0.988440826380892,0.10168131147210102,1
93,554,0.5599612725873255,0.17370262285692506,1
121,844,0.36027258688803965,0.4990615072722361,1
186,212,0.6963911267311759,0.30703151103970006,1
10,205,0.5596166341667544,0.8262244506349723,1
133,791,0.4158223109765843,0.3263249381043961,1
228,135,0.5311724706811684,0.06472648486309884,1
226,164,0.5068765264030891,0.41264873281903025,1
175,252,0.9803728399863615,0.7851991735530449,1
130,529,0.3855884233655069,0.8145451623221768,1
176,748,0.6518704039479106,0.5157871704503924,1
188,174,0.08032596066119979,0.27505326089942495,1
12,167,0.3012026278022807,0.012338561195870623,1
72,10,0.7252044456603013,0.7997182431122084,1
65,792,0.43842068455166505,0.8220893203143418,1
1,421,0.8576273397823962,0.8781752726050955,1
213,448,0.028422518587096435,0.6019646786686932,1
9,432,0.5791455938068322,0.9033132570441564,1
142,114,0.0858809016384694,0.0026407997233115488,1
126,800,0.26111659367069073,0.4853976275217001,1
116,925,0.7419185591077339,0.1495568138061606,1
256,98,0.16802248974751444,0.7821462217103262,1
188,912,0.14018485893589228,0.5086398714012172,1
98,384,0.49198834180727213,0.29673388525749955,1
16,575,0.8219275048286708,0.6016341714311713,1
222,176,0.9656912805006058,0.6160951497913931,1
289,112,0.7377267816732435,0.1887999730111546,1
4,85,0.37810027016039505,0.2771877280999112,1
116,468,0.5216356834131056,0.7229468614682665,1
224,162,0.3886717363221982,0.7284898479427746,1
264,96,0.7758149424337842,0.9647228535242937,1
172,800,0.3553349551748163,0.061515814731261775,1
252,557,0.9275289699604283,0.2706015001983867,1
